"reviewer.id","age","skill","used.cr.technology"
1,51,4.25423549993749,0
2,55,3.73972259902523,0
3,49,4.45773802596429,0
4,38,3.82727437411398,0
5,44,4.18449548286827,0
6,27,2.65703829694266,1
7,45,4.1061012198675,0
8,45,4.32119993893351,1
9,35,3.32705306276935,1
10,42,4.0719826708698,1
11,23,2.6958653856361,0
12,36,3.72147566736087,0
13,25,2.11794987611071,1
14,35,3.94319377077068,1
15,35,3.70437772079627,1
16,39,3.25373205638374,1
17,28,3.02629020791501,1
18,53,3.67843530248792,0
19,41,4.08964991040551,0
20,62,4.45000249039581,0
21,27,2.36694561559433,1
22,35,2.93682285189885,1
23,51,4.11987326287519,0
24,32,2.64878087689492,1
25,52,4.29470373038628,1
26,25,3.31775055617624,1
27,58,4.57270218020628,0
28,30,3.19693829874002,0
29,45,4.32069781133827,1
30,41,3.37908406971977,1
31,31,3.73880386676767,0
32,48,4.63821863259462,0
33,28,2.80340275168419,1
34,32,3.56324510721813,1
35,25,2.39572247179755,1
36,43,3.51586363343248,1
37,41,4.04804529847601,1
38,44,4.54355307300085,1
39,45,4.00566690992486,1
40,45,4.26003920556899,0
41,29,2.67565086452575,1
42,47,4.35177570605144,1
43,32,2.65007308477859,1
44,50,4.5682398352296,0
45,40,3.76360285638197,0
46,52,3.94432505895809,0
47,43,4.38608010112966,0
48,49,4.59904097184823,1
49,39,3.43549969748477,0
50,52,3.6521420391319,1
51,21,2.02889070661337,1
52,50,3.55048192622968,0
53,49,4.75180680538812,0
54,20,0.711388891749084,1
55,49,3.61096515987353,0
56,41,4.29277795126685,0
57,50,3.45608325488762,0
58,36,3.70081336898141,1
59,31,2.86198445659259,0
60,53,4.6642179054761,0
61,49,4.36703370079683,1
62,23,1.76891366162465,1
63,27,3.11734451655956,1
64,38,4.3652768354021,1
65,42,4.14844320348104,0
66,49,3.43698591139452,1
67,48,3.87910812112776,1
68,36,3.06596294752665,0
69,53,3.83022357165755,1
70,45,3.85674995309595,0
71,40,3.16839374101086,1
72,50,4.12316653183558,0
73,57,4.00419318818049,0
74,43,3.7929451294216,0
75,51,3.53623484608572,0
76,38,4.32146888050214,1
77,40,3.59786728855519,0
78,41,3.94736701116921,1
79,33,3.21535175567388,1
80,30,3.46031306712382,0
81,54,3.784121419136,0
82,42,4.32734325962712,1
83,38,3.2204196131412,0
84,39,3.87558255677926,0
85,27,3.0073917528587,0
86,45,4.24984838911254,0
87,43,3.90153575250605,0
88,52,4.43337195693009,0
89,45,4.31064329268333,0
90,35,3.95986432485538,1
91,43,4.1678001999362,0
92,37,3.36295703562506,0
93,36,3.67473034276038,1
94,31,3.66210795634554,0
95,41,3.96026528069773,1
96,55,4.84699317182542,1
97,38,3.93212628258355,0
98,50,3.46707182186552,1
99,55,4.78343512181321,0
100,31,3.06256939096504,0
101,49,3.75083156573871,0
102,59,4.43751764930266,0
103,35,3.01794445059518,1
104,54,4.92437745437077,0
105,24,2.81168648050853,1
106,40,3.41653519223741,0
107,20,1.49787133042701,1
108,58,3.86390875660206,0
109,43,4.15735686034622,0
110,45,4.06201281333264,1
111,39,4.39559919748338,0
112,46,4.33209432489239,0
113,30,3.71816802733072,1
114,44,4.59121410073222,0
115,39,3.67229616900789,0
116,34,3.01626070267276,1
117,59,4.78679517795744,0
118,31,3.13710126726085,0
119,23,1.86229150386655,1
120,37,3.30355136833683,0
121,40,4.05093266542366,0
122,35,3.62426791779022,1
123,20,0.419129623007029,1
124,50,4.2709763305717,1
125,42,4.37154500378867,1
126,55,4.16603536450432,0
127,20,1.43703578547575,1
128,50,4.20472568552837,1
129,21,1.87486631271028,1
130,21,1.9898567238503,1
131,44,3.91615044618467,0
132,27,2.93363467375474,1
133,52,4.42277185102419,1
134,51,4.1146007070117,0
135,35,3.98433858366939,1
136,30,3.07640558667906,1
137,29,3.60092213765071,1
138,50,3.46238033203304,1
139,41,4.38516080609546,1
140,53,4.84937917241768,0
141,47,3.39892277694732,0
142,34,3.6531120975943,0
143,47,4.22675795178354,1
144,37,3.8169311201346,1
145,42,3.1988215364666,0
146,45,3.64203891507272,0
147,36,3.94882100461394,0
148,53,4.35604125448444,1
149,43,3.39038183381507,1
150,43,4.01213337611133,1
151,47,4.5918568336913,1
152,36,3.39060814752586,1
153,45,3.49015885670591,0
154,51,4.82024693240266,1
155,46,4.62263887296431,0
156,44,3.63708662669616,1
157,54,3.75991957860119,0
158,45,4.619313928391,0
159,44,3.57157341502117,1
160,45,3.90162540129308,0
161,44,4.16503220870601,0
162,51,3.49852147593949,0
163,23,1.66171054363379,1
164,40,4.3100826840598,1
165,41,3.89810993868881,0
166,43,3.52564434585819,1
167,25,1.9313146873989,1
168,53,3.72205838948429,1
169,27,2.50604325164767,1
170,35,4.20375605757604,1
171,38,4.02718760488518,0
172,24,2.2221138699887,1
173,25,2.11158982488856,1
174,40,3.68417141542135,1
175,44,4.39444139897333,1
176,37,4.08359413805016,1
177,39,4.40184153470094,1
178,44,3.81393129736626,0
179,34,4.08092493391351,1
180,25,2.19967077748448,1
181,38,3.43959667962939,1
182,32,2.92479780445199,1
183,22,1.78271254077554,1
184,32,3.94510382118958,1
185,56,3.74750080272062,0
186,36,4.14140535462059,1
187,40,4.3525676050905,1
188,42,3.26389141643059,0
189,29,2.73881854169355,0
190,39,3.82906505938502,1
191,25,2.56005008101062,1
192,28,2.77407828452997,1
193,44,3.34908081134291,1
194,42,3.96539422438119,0
195,20,1.32919581485912,1
196,48,4.33206442526815,0
197,49,4.19050912048021,0
198,30,2.95916895932012,1
199,39,3.33243393109063,1
200,29,3.70141071226732,1
