"reviewer.id","review.id","complexity","result","extent","quality"
1,623,0.366999314027222,1,229,3
1,1381,0.489959666284084,1,184,3
1,673,-1.39683691418448,0,126,3
1,136,0.545315695159336,0,183,3
1,35,-0.88190709921801,0,169,3
1,749,0.91856901006262,1,179,4
1,626,1.43827442865914,1,299,3
2,620,0.859935761200734,1,257,4
2,495,0.0164315894566532,0,167,4
2,1136,0.420815164049536,1,320,4
2,1258,-0.643922831599564,1,162,3
2,1959,-2.05982883314013,0,66,3
2,691,-1.79760388255752,0,69,3
3,906,0.929460813317416,0,162,4
3,933,-0.100439807731559,0,201,3
3,1637,1.7451017464625,1,234,3
3,27,-0.858105359488355,0,102,5
3,257,1.26537084518199,1,217,4
3,1840,8.27408149680475e-05,1,197,4
3,1114,0.0331384634208057,1,223,3
3,1175,1.48986369218519,1,288,4
3,1497,0.428969863471413,1,147,4
3,1495,-0.509304134287692,1,115,4
3,1341,-1.16420605573935,0,87,4
3,1088,-0.10726514338004,1,287,4
4,940,0.914029511506648,1,218,4
4,719,0.544066538647668,1,225,3
4,1529,1.0193925605992,1,210,3
4,1071,-0.455966691443284,0,229,3
4,1864,-0.188684648111865,1,185,4
4,400,0.564692809845967,1,177,4
4,1445,-0.629056044617704,0,197,4
4,1413,-0.37111889752241,1,136,3
5,1914,-0.837047153464824,1,113,4
5,422,-0.630796550436498,0,132,4
5,1961,0.636176453631928,0,141,3
5,560,-1.00060875298396,0,77,4
5,1767,-1.78398695360096,1,41,3
5,1696,0.341297395534949,1,239,4
5,1717,-0.692742151316945,0,107,3
5,1927,0.614520637406908,1,234,4
5,1595,0.364474294729307,1,260,4
5,404,1.04737631478446,1,216,4
5,1189,-0.345479564238947,1,174,3
5,1122,-0.595367587718016,0,126,4
5,1860,1.07365141856348,1,207,4
5,1947,-0.631073820599681,1,130,4
6,964,-0.553800476252926,0,224,3
6,1243,0.416753970773527,1,297,3
6,1462,-0.361782335338825,0,171,4
6,162,0.192322670052761,1,191,3
6,1418,-0.344866325829007,0,179,4
6,1566,-0.403399214734689,0,184,3
6,398,0.132066881255652,1,291,4
6,1610,0.649393382662396,1,411,3
6,1501,-1.15250649583043,0,155,3
6,706,0.239306199107454,1,174,4
6,1507,-0.396367741786704,1,169,3
6,619,-1.93155584654327,0,107,3
6,165,0.12961407320289,1,187,2
7,738,1.29537234306599,0,139,3
7,1233,-0.397509704667331,0,122,4
7,1646,0.124719968166583,0,180,3
7,1720,-1.43642583999785,0,79,4
7,386,0.926036408388473,1,286,4
7,787,1.23845343694327,1,234,3
7,224,0.466942407846122,1,171,4
7,1298,0.0519144721208992,1,209,3
8,1510,0.0148007164167739,0,206,4
8,1607,0.769065558858126,1,203,4
8,225,0.996100723817818,1,279,4
8,748,1.40897207448775,1,367,4
8,1099,0.212940611623973,0,208,4
8,252,-0.384101662526346,0,125,3
8,550,-0.31146612379209,0,134,4
8,523,-2.04045493370689,0,58,4
8,450,-0.708050016763526,0,121,4
8,83,2.34163310883507,1,331,3
9,1944,0.128342613120549,1,213,4
9,1443,-0.118833510989263,1,239,5
